"spec_id","base_case","D","n_vector","n_tilde","m","alpha","rho","pi_w","pi_in","win_scale_global","win_scale_bias","input_bound","launch_seed","rationale"
"cap1000_d2n500eq_a0p5_r0p65_w0p005_boundtanh","cap1000_d2n500eq",2,"500;500","500",100,0.5,0.65,0.03,1,0.005,0.005,"tanh",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.500, rho=0.650, win/bias scale=0.0050, input_bound=tanh."
"cap1000_d2n500eq_a0p35_r0p85_w0p025_boundnone","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.85,0.03,1,0.025,0.025,"none",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.850, win/bias scale=0.0250, input_bound=none."
"cap1000_d2n500eq_a0p35_r0p85_w0p025_boundtanh","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.85,0.03,1,0.025,0.025,"tanh",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.850, win/bias scale=0.0250, input_bound=tanh."
"cap1000_d2n500eq_a0p35_r0p85_w0p0125_boundnone","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.85,0.03,1,0.0125,0.0125,"none",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.850, win/bias scale=0.0125, input_bound=none."
"cap1000_d2n500eq_a0p35_r0p85_w0p0125_boundtanh","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.85,0.03,1,0.0125,0.0125,"tanh",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.850, win/bias scale=0.0125, input_bound=tanh."
"cap1000_d2n500eq_a0p35_r0p85_w0p005_boundnone","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.85,0.03,1,0.005,0.005,"none",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.850, win/bias scale=0.0050, input_bound=none."
"cap1000_d2n500eq_a0p35_r0p85_w0p005_boundtanh","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.85,0.03,1,0.005,0.005,"tanh",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.850, win/bias scale=0.0050, input_bound=tanh."
"cap1000_d2n500eq_a0p35_r0p75_w0p025_boundnone","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.75,0.03,1,0.025,0.025,"none",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.750, win/bias scale=0.0250, input_bound=none."
"cap1000_d2n500eq_a0p35_r0p75_w0p025_boundtanh","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.75,0.03,1,0.025,0.025,"tanh",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.750, win/bias scale=0.0250, input_bound=tanh."
"cap1000_d2n500eq_a0p35_r0p75_w0p0125_boundnone","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.75,0.03,1,0.0125,0.0125,"none",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.750, win/bias scale=0.0125, input_bound=none."
"cap1000_d2n500eq_a0p35_r0p75_w0p0125_boundtanh","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.75,0.03,1,0.0125,0.0125,"tanh",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.750, win/bias scale=0.0125, input_bound=tanh."
"cap1000_d2n500eq_a0p35_r0p75_w0p005_boundnone","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.75,0.03,1,0.005,0.005,"none",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.750, win/bias scale=0.0050, input_bound=none."
"cap1000_d2n500eq_a0p35_r0p75_w0p005_boundtanh","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.75,0.03,1,0.005,0.005,"tanh",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.750, win/bias scale=0.0050, input_bound=tanh."
"cap1000_d2n500eq_a0p35_r0p65_w0p025_boundnone","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.65,0.03,1,0.025,0.025,"none",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.650, win/bias scale=0.0250, input_bound=none."
"cap1000_d2n500eq_a0p35_r0p65_w0p025_boundtanh","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.65,0.03,1,0.025,0.025,"tanh",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.650, win/bias scale=0.0250, input_bound=tanh."
"cap1000_d2n500eq_a0p35_r0p65_w0p0125_boundnone","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.65,0.03,1,0.0125,0.0125,"none",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.650, win/bias scale=0.0125, input_bound=none."
"cap1000_d2n500eq_a0p35_r0p65_w0p0125_boundtanh","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.65,0.03,1,0.0125,0.0125,"tanh",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.650, win/bias scale=0.0125, input_bound=tanh."
"cap1000_d2n500eq_a0p35_r0p65_w0p005_boundnone","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.65,0.03,1,0.005,0.005,"none",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.650, win/bias scale=0.0050, input_bound=none."
"cap1000_d2n500eq_a0p35_r0p65_w0p005_boundtanh","cap1000_d2n500eq",2,"500;500","500",100,0.35,0.65,0.03,1,0.005,0.005,"tanh",20260512,"Gentle repair extension for cap1000_d2n500eq: total units=1000, alpha=0.350, rho=0.650, win/bias scale=0.0050, input_bound=tanh."
"cap1000_d4n250eq_a0p5_r0p85_w0p025_boundnone","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.85,0.03,1,0.025,0.025,"none",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.850, win/bias scale=0.0250, input_bound=none."
"cap1000_d4n250eq_a0p5_r0p85_w0p025_boundtanh","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.85,0.03,1,0.025,0.025,"tanh",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.850, win/bias scale=0.0250, input_bound=tanh."
"cap1000_d4n250eq_a0p5_r0p85_w0p0125_boundnone","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.85,0.03,1,0.0125,0.0125,"none",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.850, win/bias scale=0.0125, input_bound=none."
"cap1000_d4n250eq_a0p5_r0p85_w0p0125_boundtanh","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.85,0.03,1,0.0125,0.0125,"tanh",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.850, win/bias scale=0.0125, input_bound=tanh."
"cap1000_d4n250eq_a0p5_r0p85_w0p005_boundnone","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.85,0.03,1,0.005,0.005,"none",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.850, win/bias scale=0.0050, input_bound=none."
"cap1000_d4n250eq_a0p5_r0p85_w0p005_boundtanh","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.85,0.03,1,0.005,0.005,"tanh",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.850, win/bias scale=0.0050, input_bound=tanh."
"cap1000_d4n250eq_a0p5_r0p75_w0p025_boundnone","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.75,0.03,1,0.025,0.025,"none",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.750, win/bias scale=0.0250, input_bound=none."
"cap1000_d4n250eq_a0p5_r0p75_w0p025_boundtanh","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.75,0.03,1,0.025,0.025,"tanh",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.750, win/bias scale=0.0250, input_bound=tanh."
"cap1000_d4n250eq_a0p5_r0p75_w0p0125_boundnone","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.75,0.03,1,0.0125,0.0125,"none",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.750, win/bias scale=0.0125, input_bound=none."
"cap1000_d4n250eq_a0p5_r0p75_w0p0125_boundtanh","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.75,0.03,1,0.0125,0.0125,"tanh",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.750, win/bias scale=0.0125, input_bound=tanh."
"cap1000_d4n250eq_a0p5_r0p75_w0p005_boundnone","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.75,0.03,1,0.005,0.005,"none",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.750, win/bias scale=0.0050, input_bound=none."
"cap1000_d4n250eq_a0p5_r0p75_w0p005_boundtanh","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.75,0.03,1,0.005,0.005,"tanh",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.750, win/bias scale=0.0050, input_bound=tanh."
"cap1000_d4n250eq_a0p5_r0p65_w0p025_boundnone","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.65,0.03,1,0.025,0.025,"none",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.650, win/bias scale=0.0250, input_bound=none."
"cap1000_d4n250eq_a0p5_r0p65_w0p025_boundtanh","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.65,0.03,1,0.025,0.025,"tanh",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.650, win/bias scale=0.0250, input_bound=tanh."
"cap1000_d4n250eq_a0p5_r0p65_w0p0125_boundnone","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.65,0.03,1,0.0125,0.0125,"none",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.650, win/bias scale=0.0125, input_bound=none."
"cap1000_d4n250eq_a0p5_r0p65_w0p0125_boundtanh","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.65,0.03,1,0.0125,0.0125,"tanh",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.650, win/bias scale=0.0125, input_bound=tanh."
"cap1000_d4n250eq_a0p5_r0p65_w0p005_boundnone","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.65,0.03,1,0.005,0.005,"none",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.650, win/bias scale=0.0050, input_bound=none."
"cap1000_d4n250eq_a0p5_r0p65_w0p005_boundtanh","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.5,0.65,0.03,1,0.005,0.005,"tanh",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.500, rho=0.650, win/bias scale=0.0050, input_bound=tanh."
"cap1000_d4n250eq_a0p35_r0p85_w0p025_boundnone","cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.35,0.85,0.03,1,0.025,0.025,"none",20260512,"Gentle repair extension for cap1000_d4n250eq: total units=1000, alpha=0.350, rho=0.850, win/bias scale=0.0250, input_bound=none."
