"base_case","D","n_vector","n_tilde","n_repair_candidates"
"cap1000_d1n1000",1,"1000","",54
"cap1000_d2n500eq",2,"500;500","500",54
"cap1000_d4n250eq",4,"250;250;250;250","250;250;250",54
"cap1000_d5n200eq",5,"200;200;200;200;200","200;200;200;200",54
"cap1000_d10n100eq",10,"100;100;100;100;100;100;100;100;100;100","100;100;100;100;100;100;100;100;100",54
"cap1000_d3n400x300x300",3,"400;300;300","400;300",54
"cap1000_d3n333x334x333",3,"333;334;333","333;334",54
"cap1000_d3n300x300x400",3,"300;300;400","300;300",54
"cap1000_d6n200x200x150x150x150x150",6,"200;200;150;150;150;150","200;200;150;150;150",54
"cap1000_d8n125eq",8,"125;125;125;125;125;125;125;125","125;125;125;125;125;125;125",54
