"model_id","origin_date","target_date","horizon","lower","upper","nominal","covered","interval_score"
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2022-12-26,1,0.05,0.95,0.9,FALSE,5.85500118545702
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2022-12-27,2,0.05,0.95,0.9,FALSE,50.557879842639
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2022-12-28,3,0.05,0.95,0.9,FALSE,14.9465816430851
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2022-12-29,4,0.05,0.95,0.9,FALSE,4.73090672106562
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2022-12-30,5,0.05,0.95,0.9,FALSE,21.7067636942716
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2022-12-31,6,0.05,0.95,0.9,FALSE,64.3842186853824
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-01,7,0.05,0.95,0.9,FALSE,31.1646361783352
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-02,8,0.05,0.95,0.9,FALSE,15.3364548557749
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-03,9,0.05,0.95,0.9,FALSE,6.33349269372451
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-04,10,0.05,0.95,0.9,FALSE,19.485154625584
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-05,11,0.05,0.95,0.9,FALSE,30.6294403956194
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-06,12,0.05,0.95,0.9,FALSE,14.1210796436214
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-07,13,0.05,0.95,0.9,FALSE,6.62238262643423
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-08,14,0.05,0.95,0.9,FALSE,28.4974644016908
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-09,15,0.05,0.95,0.9,FALSE,53.8639956352787
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-10,16,0.05,0.95,0.9,FALSE,29.3743945766887
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-11,17,0.05,0.95,0.9,FALSE,28.1987135821638
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-12,18,0.05,0.95,0.9,FALSE,24.5843686424678
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-13,19,0.05,0.95,0.9,FALSE,28.1924463455395
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-14,20,0.05,0.95,0.9,FALSE,52.2845220988436
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-15,21,0.05,0.95,0.9,FALSE,34.8237493763542
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-16,22,0.05,0.95,0.9,FALSE,38.818316375739
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-17,23,0.05,0.95,0.9,FALSE,27.1427324065394
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-18,24,0.05,0.95,0.9,FALSE,20.438462266146
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-19,25,0.05,0.95,0.9,FALSE,17.6972903350839
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-20,26,0.05,0.95,0.9,FALSE,13.7974294377251
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-21,27,0.05,0.95,0.9,FALSE,11.2631845692623
"raw_glofas_reservoir_only_m360_full7",2022-12-25,2023-01-22,28,0.05,0.95,0.9,FALSE,10.8263198060954
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7",2022-12-25,2022-12-26,1,0.05,0.95,0.9,TRUE,1.28777350313472
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7",2022-12-25,2022-12-27,2,0.05,0.95,0.9,FALSE,18.4218007756484
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7",2022-12-25,2022-12-28,3,0.05,0.95,0.9,TRUE,1.79743467249559
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7",2022-12-25,2022-12-29,4,0.05,0.95,0.9,TRUE,1.7418215343931
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7",2022-12-25,2022-12-30,5,0.05,0.95,0.9,TRUE,1.93886135318007
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7",2022-12-25,2022-12-31,6,0.05,0.95,0.9,FALSE,45.6360088633957
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7",2022-12-25,2023-01-01,7,0.05,0.95,0.9,FALSE,8.89357045287902
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7",2022-12-25,2023-01-02,8,0.05,0.95,0.9,TRUE,2.1008213208982
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7",2022-12-25,2023-01-03,9,0.05,0.95,0.9,TRUE,2.25422206439688
