region,fold,selected_family,AQL,AQCR,MAE,RMSE,current_authoritative_qdesn_AQL,cached_pricefm_AQL,delta_AQL_candidate_minus_current,delta_AQL_candidate_minus_pricefm,rhs_tau0,lag_window,depth,units,alpha,rho,input_scale,feature_policy,state_output,selection_source_stage,selected_atom_manifest_path,selected_atom_manifest_sha256,selected_validation_AQL,selected_validation_AQCR,selected_validation_MAE,selected_validation_RMSE,test_evidence_path,test_evidence_sha256,deprecated_R92_method_id,deprecated_R92_AQL,deprecated_R92_source_class,deprecated_R92_experiment_id,deprecated_R92_feature_policy,qdesn_method_id,qdesn_AQL,qdesn_AQCR,qdesn_MAE,qdesn_RMSE,pricefm_AQL,delta_AQL_qdesn_minus_pricefm,delta_AQL_qdesn_minus_deprecated_R92,decision_label,authority_status,authority_basis,authority_transition_rule,selected_on_split,selection_is_validation_only,same_desn_tau0_all_folds_within_region,same_likelihood_family_all_folds_within_region,test_driven_case_mixing_used,R92_case_fallback_used,test_metrics_role,r97_preregistered_performance_gate_passed,registry_mutation_authorized,article_mutation_authorized,joint_model_authorized,mcmc_authorized
AT,1,al,6.811123672807097,0.0104166666666666,16.77109930989621,24.45936210325476,6.739249934522802,7.402188067926763,0.0718737382842951,-0.5910643951196652,0.01,48,2,"[48,48]",0.35,0.82,0.2,graph_summary_mean,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/AT/pricefm_stage_r97_selected_atom_manifest.csv,5264eaefe13e970059e4af43b5614b805373486d577e2d8c34beff18fa698fae,8.159388246639748,0.005734858834244,19.643706365711555,40.45214866504947,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=AT/fold=1/score/test_metric.csv,8366854fc77b03d6051a91d5e3f7f9978dca6d5293662a8c9d1c253c956d9801,qdesn_exal_rhs_ns_exact_chunked,6.739249934522802,stage_m,stagec_p0_completionfolds_at_f1_core_l096_d1_n120_a0p5_r0p9_in0p50_seed20260601,target_only,qdesn_al_rhs_ns_r98_region_frozen,6.811123672807097,0.0104166666666666,16.77109930989621,24.45936210325476,7.402188067926763,-0.5910643951196652,0.07187373828429511,qdesn_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
AT,2,al,6.944002915485355,0.0546098690153568,17.068180310015823,25.06167577448265,6.87229102788184,6.992348792458196,0.0717118876035156,-0.0483458769728404,0.01,48,2,"[48,48]",0.35,0.82,0.2,graph_summary_mean,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/AT/pricefm_stage_r97_selected_atom_manifest.csv,5264eaefe13e970059e4af43b5614b805373486d577e2d8c34beff18fa698fae,6.508234021287648,0.0147280092592592,15.925717647095656,23.77638714334316,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=AT/fold=2/score/test_metric.csv,d91946bdc2c09be06573ac2b46c7ad0444551c0f1fe54a8af006a5ace7f2d612,qdesn_exal_rhs_ns_exact_chunked,6.87229102788184,provenance_bridge_30,stageb_lowinput_l096_d1_n120_a0p5_r0p9_in0p25_seed20260603,target_only,qdesn_al_rhs_ns_r98_region_frozen,6.944002915485355,0.0546098690153568,17.068180310015823,25.06167577448265,6.992348792458196,-0.04834587697284043,0.07171188760351566,qdesn_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
AT,3,al,9.860031874796306,0.0152692395264116,23.931786253547763,41.26707465821925,7.646580096734823,6.755037304751026,2.213451778061483,3.10499457004528,0.01,48,2,"[48,48]",0.35,0.82,0.2,graph_summary_mean,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/AT/pricefm_stage_r97_selected_atom_manifest.csv,5264eaefe13e970059e4af43b5614b805373486d577e2d8c34beff18fa698fae,6.604235986818696,0.0362607271906052,16.40272810301626,24.55025437966538,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=AT/fold=3/score/test_metric.csv,8a369d6c6c35d9c5ac2fc7b51c7777d5e3a09c121677cc8a8ec93ce85153104b,qdesn_exal_rhs_ns_exact_chunked,7.646580096734823,stage_m,stagec_p0_completionfolds_at_f3_core_l096_d1_n120_a0p5_r0p9_in0p50_seed20260601,target_only,qdesn_al_rhs_ns_r98_region_frozen,9.860031874796306,0.0152692395264116,23.931786253547763,41.26707465821925,6.755037304751026,3.10499457004528,2.213451778061483,pricefm_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
BE,1,exal,5.528270415765069,0.0005208333333333,13.823777710454436,20.176619975251032,5.669390199115978,5.835215611047912,-0.1411197833509092,-0.306945195282843,0.002,168,2,"[48,48]",0.4,0.95,0.25,graph_summary_mean,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/BE/pricefm_stage_r97_selected_atom_manifest.csv,a0669f01ba90ca4dbf8f94cbaf27b25535f0d0d90717d6c09d0682e7dda530a8,5.553335494573579,0.0009249772313296,13.695638390139258,22.60205980201161,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BE/fold=1/score/test_metric.csv,e892164003f91397b1a4c7230bf9bd70ddb74ddc247473ce44b3c680eadd0e72,qdesn_al_rhs_ns_exact_chunked,5.669390199115978,stage_m,stagec_p1_diversenewregions_be_f1_lowinput_l096_d1_n120_a0p5_r0p9_in0p25_seed20260603,target_only,qdesn_exal_rhs_ns_r98_region_frozen,5.528270415765069,0.0005208333333333,13.823777710454436,20.176619975251032,5.835215611047912,-0.30694519528284303,-0.14111978335090924,qdesn_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
BE,2,exal,6.463738587651144,0.0007480803974706,16.142047344266217,26.90894910849083,6.3967543590098535,6.496657402913407,0.0669842286412905,-0.0329188152622634,0.002,168,2,"[48,48]",0.4,0.95,0.25,graph_summary_mean,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/BE/pricefm_stage_r97_selected_atom_manifest.csv,a0669f01ba90ca4dbf8f94cbaf27b25535f0d0d90717d6c09d0682e7dda530a8,5.29997950223808,0.001099537037037,13.20742237295856,19.728061278668548,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BE/fold=2/score/test_metric.csv,159602061d001d9e84489b4692ead58f98ceae677f58ab90059e7ff62f3bd306,qdesn_exal_rhs_ns_exact_chunked,6.3967543590098535,stage_m,staged_be_f2_graphd1_alpha_lo_seedrob20260618,graph_khop,qdesn_exal_rhs_ns_r98_region_frozen,6.463738587651144,0.0007480803974706,16.142047344266217,26.90894910849083,6.496657402913407,-0.03291881526226348,0.0669842286412905,qdesn_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
BE,3,exal,5.495943723094341,0.0003130692167577,13.882120604144738,18.4295491918204,5.566922976175035,5.293482258838876,-0.0709792530806936,0.2024614642554656,0.002,168,2,"[48,48]",0.4,0.95,0.25,graph_summary_mean,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/BE/pricefm_stage_r97_selected_atom_manifest.csv,a0669f01ba90ca4dbf8f94cbaf27b25535f0d0d90717d6c09d0682e7dda530a8,6.400558350561399,0.0001834914182475,16.010501579505156,26.85331995395229,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BE/fold=3/score/test_metric.csv,f86964cf66f2d4fe2f09a344e9f3fb205c41d4bcc3a18b4c17bb78dd30a68384,qdesn_exal_rhs_ns_exact_chunked,5.566922976175035,stage_m,staged_be_f3_graphd1_input_lo_seedrob20260616,graph_khop,qdesn_exal_rhs_ns_r98_region_frozen,5.495943723094341,0.0003130692167577,13.882120604144738,18.4295491918204,5.293482258838876,0.20246146425546563,-0.07097925308069364,pricefm_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
BG,1,al,10.09762725980426,0.0043547453703703,25.31022638551725,37.004463650692486,7.722892178381238,8.581395563937951,2.374735081423024,1.5162316958663098,0.0001,240,3,"[40,40,40]",0.25,0.82,0.35,target_only,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/BG/pricefm_stage_r97_selected_atom_manifest.csv,ddc716bb9d3039f156cbbbb094a5ee6d3f18120fed11f4c56fe271cb961e2326,14.140879687263428,0.0001707650273224,34.620284206808314,67.56846610152164,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BG/fold=1/score/test_metric.csv,914e8e09421911523f7629b1082721398c17a3ecbc79829f0b0d33aef6a17138,qdesn_exal_rhs_ns_exact_chunked,7.722892178381238,provenance_bridge_30,stageb_lowinput_l096_d1_n120_a0p5_r0p9_in0p25_seed20260603,target_only,qdesn_al_rhs_ns_r98_region_frozen,10.09762725980426,0.0043547453703703,25.31022638551725,37.004463650692486,8.581395563937951,1.516231695866308,2.3747350814230215,pricefm_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
BG,2,al,8.397617846177125,0.0011291779584462,20.856666242961296,29.41999676113693,7.349159054358303,8.002690564021277,1.0484587918188222,0.394927282155848,0.0001,240,3,"[40,40,40]",0.25,0.82,0.35,target_only,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/BG/pricefm_stage_r97_selected_atom_manifest.csv,ddc716bb9d3039f156cbbbb094a5ee6d3f18120fed11f4c56fe271cb961e2326,10.025979821830122,0.0074652777777777,24.851614902416067,36.39722967853563,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BG/fold=2/score/test_metric.csv,db318f84a3421a8fbd08f531d4051b950ec815e58d05c659e6e6478bfdcdc5ac,qdesn_exal_rhs_ns_exact_chunked,7.349159054358303,provenance_bridge_30,stageb_core_l096_d1_n120_a0p5_r0p9_in0p50_seed20260601,target_only,qdesn_al_rhs_ns_r98_region_frozen,8.397617846177125,0.0011291779584462,20.856666242961296,29.41999676113693,8.002690564021277,0.39492728215584805,1.0484587918188222,pricefm_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
BG,3,al,10.483208278194407,0.0001849954462659,26.15039777678551,38.73265954545205,8.997503773220512,9.035185672364738,1.4857045049738955,1.448022605829669,0.0001,240,3,"[40,40,40]",0.25,0.82,0.35,target_only,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/BG/pricefm_stage_r97_selected_atom_manifest.csv,ddc716bb9d3039f156cbbbb094a5ee6d3f18120fed11f4c56fe271cb961e2326,8.322038666333357,0.0015949638663053,20.78578896457621,29.358003136150877,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BG/fold=3/score/test_metric.csv,b1514d9b7ab6ec42635ef14672c309092ae3c96b1b22ba8e7fd868feb090de65,qdesn_exal_rhs_ns_exact_chunked,8.997503773220512,provenance_bridge_30,stageb_d2_l096_d2_n080x080_a0p4_r0p9_in0p35_seed20260603,target_only,qdesn_al_rhs_ns_r98_region_frozen,10.483208278194407,0.0001849954462659,26.15039777678551,38.73265954545205,9.035185672364738,1.448022605829669,1.4857045049738957,pricefm_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
CZ,1,exal,6.911386573164172,0.0049045138888888,17.008017215454004,25.521283610941683,6.1489934207526895,6.749695514772501,0.7623931524114829,0.1616910583916713,0.01,48,2,"[64,64]",0.25,0.95,0.15,graph_summary_mean,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/CZ/pricefm_stage_r97_selected_atom_manifest.csv,9c5c2abe64ab6e8a8b3808b10f374544ec88ea62077520269cd590f076dc112e,9.45480453676054,0.0140738843351548,22.91021235736353,42.1667691977575,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=CZ/fold=1/score/test_metric.csv,cdbd54aa169efd52c11e96567170fbc39c454d3a5bb64992b54060e1eec0de43,qdesn_exal_rhs_ns_exact_chunked,6.1489934207526895,current_r3q,covm_cz_f1_graphsum_g1_d1_n120_s035,graph_summary_mean,qdesn_exal_rhs_ns_r98_region_frozen,6.911386573164172,0.0049045138888888,17.008017215454004,25.521283610941683,6.749695514772501,0.1616910583916713,0.7623931524114829,pricefm_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
CZ,2,exal,6.3903260081917805,0.0056035456187895,15.612618213360005,24.15892116129061,6.370272863412463,6.46957313047084,0.0200531447793173,-0.0792471222790593,0.01,48,2,"[64,64]",0.25,0.95,0.15,graph_summary_mean,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/CZ/pricefm_stage_r97_selected_atom_manifest.csv,9c5c2abe64ab6e8a8b3808b10f374544ec88ea62077520269cd590f076dc112e,6.536344465211513,0.0,16.00733180599554,24.303549809977323,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=CZ/fold=2/score/test_metric.csv,842c18d09e07208f453a00a733fd04338a2bcdf227c64c8dc873df25bab6eef2,qdesn_exal_rhs_ns_exact_chunked,6.370272863412463,current_r3q,covm_cz_f2_graphsum_g1_d1_n120_s035,graph_summary_mean,qdesn_exal_rhs_ns_r98_region_frozen,6.3903260081917805,0.0056035456187895,15.612618213360005,24.15892116129061,6.46957313047084,-0.07924712227905939,0.0200531447793173,qdesn_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
CZ,3,exal,7.529963175752749,0.0020064890710382,18.65220403504695,29.41154055193779,7.810778596057343,7.321703986182859,-0.2808154203045943,0.2082591895698895,0.01,48,2,"[64,64]",0.25,0.95,0.15,graph_summary_mean,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/CZ/pricefm_stage_r97_selected_atom_manifest.csv,9c5c2abe64ab6e8a8b3808b10f374544ec88ea62077520269cd590f076dc112e,6.303527178755881,0.0238679990966576,15.50005176772006,24.124476877599328,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=CZ/fold=3/score/test_metric.csv,8585a37ed9dfffc1e481f23c63bc8e7a5c472babdd18a01f31ba05b72fc35f05,qdesn_exal_rhs_ns_exact_chunked,7.810778596057343,current_r3q,covm_cz_f3_graphsum_g1_d1_n120_s035,graph_summary_mean,qdesn_exal_rhs_ns_r98_region_frozen,7.529963175752749,0.0020064890710382,18.65220403504695,29.41154055193779,7.321703986182859,0.20825918956988954,-0.2808154203045943,pricefm_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
DE_LU,1,exal,5.022860845643483,0.0002025462962962,12.240070040128826,20.466232163704376,5.302525873082846,5.323539526886216,-0.2796650274393633,-0.3006786812427329,0.0005,48,2,"[48,48]",0.55,0.82,0.15,graph_khop,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/DE_LU/pricefm_stage_r97_selected_atom_manifest.csv,86d9bada0fa1e9635c21a700b5c21a6c652c9946659b4f6eabc118a2ce61ab83,6.546245173164528,4.269125683060109e-05,15.57011444880268,41.52032866146603,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DE_LU/fold=1/score/test_metric.csv,76c9654182d9b31f8b0bdbc4fa317ebe923132f363e7f470e5dbf4e707efdeec,qdesn_exal_rhs_ns_exact_chunked,5.302525873082846,provenance_bridge_30,localar_d2_u120_alpha_input_scale0p5_alpha0p5_graphd1_fold1_delu,graph_khop,qdesn_exal_rhs_ns_r98_region_frozen,5.022860845643483,0.0002025462962962,12.240070040128826,20.466232163704376,5.323539526886216,-0.3006786812427329,-0.2796650274393633,qdesn_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
DE_LU,2,exal,5.612595420393365,0.0,14.142419556820071,20.910443032678856,5.288746769127772,5.355079281228597,0.3238486512655933,0.2575161391647684,0.0005,48,2,"[48,48]",0.55,0.82,0.15,graph_khop,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/DE_LU/pricefm_stage_r97_selected_atom_manifest.csv,86d9bada0fa1e9635c21a700b5c21a6c652c9946659b4f6eabc118a2ce61ab83,4.784417229350592,0.0001446759259259,11.81319076060271,20.0279271485416,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DE_LU/fold=2/score/test_metric.csv,12715749e7fce398aab68b691bcb16e23c16ceece6afb9beb78fd298faef4d16,qdesn_exal_rhs_ns_exact_chunked,5.288746769127772,provenance_bridge_30,panel_core_l096_d1_n120_a0p5_r0p9_in0p50_seed20260601_graphd1_fold2_delu,graph_khop,qdesn_exal_rhs_ns_r98_region_frozen,5.612595420393365,0.0,14.142419556820071,20.910443032678856,5.355079281228597,0.25751613916476845,0.32384865126559337,pricefm_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
DE_LU,3,exal,7.19390912423477,0.0001280737704918,17.462348397286227,27.33294548565266,6.944708294545968,6.029767217747075,0.2492008296888013,1.1641419064876946,0.0005,48,2,"[48,48]",0.55,0.82,0.15,graph_khop,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/DE_LU/pricefm_stage_r97_selected_atom_manifest.csv,86d9bada0fa1e9635c21a700b5c21a6c652c9946659b4f6eabc118a2ce61ab83,5.503255318852749,0.0,13.78512962920738,20.566184212577237,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DE_LU/fold=3/score/test_metric.csv,61f0b3fbe73e86ed8ce46325673146b5f589b7de273e4524592513564461c09d,qdesn_al_rhs_ns_exact_chunked,6.944708294545968,provenance_bridge_30,broad_l096_d2_n120x120_a0p4_r0p9_in0p25_seed20260608_graphd1_fold3_delu,graph_khop,qdesn_exal_rhs_ns_r98_region_frozen,7.19390912423477,0.0001280737704918,17.462348397286227,27.33294548565266,6.029767217747075,1.1641419064876946,0.2492008296888013,pricefm_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
DK_1,1,exal,6.144731266374995,0.0125144675925925,15.292139706962056,23.46911128835944,6.139505792427964,7.848864557961895,0.0052254739470312,-1.7041332915869,0.01,168,3,"[40,40,40]",0.25,0.82,0.15,graph_khop,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/DK_1/pricefm_stage_r97_selected_atom_manifest.csv,0eb449b14f5872115dcc7570a31c3401b9bf29be2b9e86b4bb30fb4b92b4904c,7.535683791402302,0.0020491803278688,18.30433956708702,38.951190140881984,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DK_1/fold=1/score/test_metric.csv,28b0541a6515f00ecbd60177ff5176f739d7f9eed1cc56abf27e4d1042eb28b7,qdesn_exal_rhs_ns_exact_chunked,6.139505792427964,stage_m,stagef_dk1_f1_graphd1_alpha_lo_seedrob20260616,graph_khop,qdesn_exal_rhs_ns_r98_region_frozen,6.144731266374995,0.0125144675925925,15.292139706962056,23.46911128835944,7.848864557961895,-1.7041332915869,0.005225473947031212,qdesn_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
DK_1,2,exal,5.735640189777048,0.0066480352303523,14.359419109043332,20.57903788796817,9.169474346736925,9.35804645872364,-3.433834156959877,-3.622406268946593,0.01,168,3,"[40,40,40]",0.25,0.82,0.15,graph_khop,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/DK_1/pricefm_stage_r97_selected_atom_manifest.csv,0eb449b14f5872115dcc7570a31c3401b9bf29be2b9e86b4bb30fb4b92b4904c,6.063132075238696,0.0047598379629629,15.198976262771732,23.223988933847316,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DK_1/fold=2/score/test_metric.csv,8f9c79b4f6a54c45aa878e92631eef8580acd01fd02e46218f067c4ca3e421d4,qdesn_al_rhs_ns_exact_chunked,9.169474346736925,stage_m,stagec_p1_diversenewregions_dk1_f2_d2_l096_d2_n080x080_a0p4_r0p9_in0p35_seed20260603,target_only,qdesn_exal_rhs_ns_r98_region_frozen,5.735640189777048,0.0066480352303523,14.359419109043332,20.57903788796817,9.35804645872364,-3.622406268946592,-3.4338341569598763,qdesn_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
DK_1,3,exal,6.933747854516588,0.001707650273224,17.115881113263153,26.88998641156231,7.212994003401844,7.943293319758972,-0.2792461488852567,-1.0095454652423843,0.01,168,3,"[40,40,40]",0.25,0.82,0.15,graph_khop,final_layer,R97,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/region_closeouts/DK_1/pricefm_stage_r97_selected_atom_manifest.csv,0eb449b14f5872115dcc7570a31c3401b9bf29be2b9e86b4bb30fb4b92b4904c,5.702656633120109,0.0002964092140921,14.241459368070988,20.426579780177224,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DK_1/fold=3/score/test_metric.csv,1feeeb623f507a4e9723e97883a0eef72e34b6f82e6b720d295f453f0ba2a8a2,qdesn_exal_rhs_ns_exact_chunked,7.212994003401844,stage_m,stageg_dk1_f3_graphd1_input_lo_seedrob20260617,graph_khop,qdesn_exal_rhs_ns_r98_region_frozen,6.933747854516588,0.001707650273224,17.115881113263153,26.88998641156231,7.943293319758972,-1.0095454652423843,-0.2792461488852567,qdesn_wins,R98_coordinator_ready_not_integrated,prospective_region_frozen_validation_only_protocol,complete_114_case_replacement_regardless_of_performance,fold1_train_internal_temporal_validation_and_fold1_outer_validation,True,True,True,False,False,audit_and_reporting_only,False,False,False,False,False
